LeftPupilPoints,RightPupilPoints,LeftPupilPoints-X,LeftPupilPoints-Y,RightPupilPoints-X,RightPupilPoints-Y
"28.52,9.97","29.94,-5.10",28.52,9.97,29.94,-5.1
"32.31,5.61","31.19,-5.10",32.31,5.61,31.19,-5.1
"28.81,9.58","32.21,-4.85",28.81,9.58,32.21,-4.85
"34.41,6.04","32.13,-4.69",34.41,6.04,32.13,-4.69
"29.10,10.42","32.12,-4.61",29.1,10.42,32.12,-4.61
"34.66,4.63","31.98,-4.98",34.66,4.63,31.98,-4.98
"28.75,10.25","32.00,-5.00",28.75,10.25,32.0,-5.0
"33.52,5.70","31.28,-4.85",33.52,5.7,31.28,-4.85
"28.16,10.38","31.20,-4.62",28.16,10.38,31.2,-4.62
"28.51,10.34","30.86,-4.65",28.51,10.34,30.86,-4.65
"28.29,10.36","30.81,-4.77",28.29,10.36,30.81,-4.77
"27.72,11.20","30.77,-4.78",27.72,11.2,30.77,-4.78
"28.22,10.33","30.87,-4.86",28.22,10.33,30.87,-4.86
"28.16,9.99","30.72,-4.96",28.16,9.99,30.72,-4.96
"28.19,9.92","30.75,-5.44",28.19,9.92,30.75,-5.44
"27.84,9.37","30.84,-5.31",27.84,9.37,30.84,-5.31
"33.84,1.91","30.64,-5.12",33.84,1.91,30.64,-5.12
"28.34,10.08","30.44,-5.02",28.34,10.08,30.44,-5.02
"27.82,9.58","30.57,-5.15",27.82,9.58,30.57,-5.15
"27.97,10.36","30.63,-5.19",27.97,10.36,30.63,-5.19
"27.82,9.99","30.62,-5.26",27.82,9.99,30.62,-5.26
"33.42,2.48","30.67,-5.12",33.42,2.48,30.67,-5.12
"28.22,10.12","30.69,-5.22",28.22,10.12,30.69,-5.22
"27.92,10.56","30.55,-5.10",27.92,10.56,30.55,-5.1
"27.89,9.90","30.55,-5.50",27.89,9.9,30.55,-5.5
"28.13,9.63","30.33,-5.43",28.13,9.63,30.33,-5.43
"32.26,7.41","30.38,-5.62",32.26,7.41,30.38,-5.62
"28.21,9.94","30.61,-5.86",28.21,9.94,30.61,-5.86
"28.80,10.27","30.83,-5.71",28.8,10.27,30.83,-5.71
"28.57,10.07","30.56,-5.96",28.57,10.07,30.56,-5.96
"29.13,9.41","30.53,-6.07",29.13,9.41,30.53,-6.07
"28.40,9.69","30.55,-6.00",28.4,9.69,30.55,-6.0
"28.65,9.33","30.88,-6.07",28.65,9.33,30.88,-6.07
"28.79,9.93","30.76,-6.34",28.79,9.93,30.76,-6.34
"28.56,8.71","26.95,-4.97",28.56,8.71,26.95,-4.97
"21.40,8.81","-4.27,1.69",21.4,8.81,-4.27,1.69
"-15.87,-6.65","-23.82,-11.21",-15.87,-6.65,-23.82,-11.21
"-17.62,-8.83","-23.58,-10.95",-17.62,-8.83,-23.58,-10.95
"-18.29,-8.86","-24.25,-10.73",-18.29,-8.86,-24.25,-10.73
"-20.85,-7.90","-28.53,-10.88",-20.85,-7.9,-28.53,-10.88
"-23.69,-8.74","-27.88,-10.95",-23.69,-8.74,-27.88,-10.95
"-23.99,-9.42","-27.56,-10.90",-23.99,-9.42,-27.56,-10.9
"-24.30,-9.18","-27.48,-10.93",-24.3,-9.18,-27.48,-10.93
"-24.48,-8.98","-27.47,-10.70",-24.48,-8.98,-27.47,-10.7
"-24.80,-8.32","-27.42,-10.67",-24.8,-8.32,-27.42,-10.67
"-24.89,-8.58","-27.37,-10.32",-24.89,-8.58,-27.37,-10.32
"-24.93,-8.25","-27.28,-10.29",-24.93,-8.25,-27.28,-10.29
"-24.78,-8.37","-27.13,-10.31",-24.78,-8.37,-27.13,-10.31
"-24.65,-8.71","-27.08,-10.12",-24.65,-8.71,-27.08,-10.12
"-24.73,-8.60","-27.22,-10.19",-24.73,-8.6,-27.22,-10.19
"-24.76,-7.79","-27.55,-10.16",-24.76,-7.79,-27.55,-10.16
"-24.88,-8.10","-27.53,-10.34",-24.88,-8.1,-27.53,-10.34
"-24.83,-8.61","-27.52,-10.61",-24.83,-8.61,-27.52,-10.61
"-24.83,-8.55","-27.60,-10.71",-24.83,-8.55,-27.6,-10.71
"-24.77,-8.92","-27.36,-10.89",-24.77,-8.92,-27.36,-10.89
"-24.53,-9.21","-27.37,-10.70",-24.53,-9.21,-27.37,-10.7
"-24.53,-8.91","-27.40,-10.72",-24.53,-8.91,-27.4,-10.72
"-24.60,-9.01","-27.49,-10.75",-24.6,-9.01,-27.49,-10.75
"-24.78,-8.88","-27.35,-11.09",-24.78,-8.88,-27.35,-11.09
"-24.66,-9.29","-27.32,-11.03",-24.66,-9.29,-27.32,-11.03
