LeftPupilPoints,RightPupilPoints,LeftPupilPoints-X,LeftPupilPoints-Y,RightPupilPoints-X,RightPupilPoints-Y
"28.28,8.19","30.33,-6.99",28.28,8.19,30.33,-6.99
"27.59,8.37","29.94,-6.87",27.59,8.37,29.94,-6.87
"27.90,8.33","30.02,-7.08",27.9,8.33,30.02,-7.08
"27.73,8.67","29.82,-6.76",27.73,8.67,29.82,-6.76
"27.61,8.91","29.55,-6.65",27.61,8.91,29.55,-6.65
"27.38,9.26","29.47,-6.84",27.38,9.26,29.47,-6.84
"27.67,8.53","29.52,-6.92",27.67,8.53,29.52,-6.92
"27.17,8.04","29.62,-6.91",27.17,8.04,29.62,-6.91
"27.16,8.02","29.44,-6.91",27.16,8.02,29.44,-6.91
"28.00,7.82","29.58,-7.17",28.0,7.82,29.58,-7.17
"27.58,8.17","29.54,-7.01",27.58,8.17,29.54,-7.01
"27.57,8.20","29.55,-6.86",27.57,8.2,29.55,-6.86
"27.52,8.10","29.67,-6.99",27.52,8.1,29.67,-6.99
"27.14,8.56","29.74,-6.97",27.14,8.56,29.74,-6.97
"27.41,8.59","29.67,-7.12",27.41,8.59,29.67,-7.12
"27.81,8.79","29.82,-7.30",27.81,8.79,29.82,-7.3
"28.11,8.76","30.07,-7.27",28.11,8.76,30.07,-7.27
"28.40,7.78","29.97,-7.18",28.4,7.78,29.97,-7.18
"27.71,8.40","29.84,-7.28",27.71,8.4,29.84,-7.28
"27.95,8.64","29.74,-7.31",27.95,8.64,29.74,-7.31
"27.06,8.19","29.83,-7.44",27.06,8.19,29.83,-7.44
"28.04,7.68","29.64,-7.72",28.04,7.68,29.64,-7.72
"27.94,7.76","29.66,-7.82",27.94,7.76,29.66,-7.82
"27.91,7.31","29.57,-7.84",27.91,7.31,29.57,-7.84
"28.00,8.41","29.52,-7.59",28.0,8.41,29.52,-7.59
"27.89,7.96","29.55,-7.61",27.89,7.96,29.55,-7.61
"27.96,7.66","29.77,-7.67",27.96,7.66,29.77,-7.67
"28.22,7.87","29.69,-7.65",28.22,7.87,29.69,-7.65
"27.74,7.30","29.71,-7.85",27.74,7.3,29.71,-7.85
"27.97,7.45","18.61,-5.01",27.97,7.45,18.61,-5.01
"8.98,3.73","-24.64,-14.25",8.98,3.73,-24.64,-14.25
"-22.57,-12.54","-29.56,-16.23",-22.57,-12.54,-29.56,-16.23
"-22.43,-12.05","-29.43,-15.78",-22.43,-12.05,-29.43,-15.78
"-23.22,-12.52","-29.42,-15.47",-23.22,-12.52,-29.42,-15.47
"-24.00,-12.76","-29.38,-15.33",-24.0,-12.76,-29.38,-15.33
"-24.53,-13.17","-29.26,-15.34",-24.53,-13.17,-29.26,-15.34
"-24.67,-12.91","-29.64,-14.59",-24.67,-12.91,-29.64,-14.59
"-24.95,-11.22","-29.50,-14.27",-24.95,-11.22,-29.5,-14.27
"-25.19,-11.66","-29.28,-14.43",-25.19,-11.66,-29.28,-14.43
"-25.26,-11.56","-29.18,-14.39",-25.26,-11.56,-29.18,-14.39
"-25.03,-11.74","-28.91,-14.45",-25.03,-11.74,-28.91,-14.45
"-24.99,-12.43","-28.72,-14.49",-24.99,-12.43,-28.72,-14.49
"-25.02,-12.13","-28.62,-14.51",-25.02,-12.13,-28.62,-14.51
"-24.97,-12.38","-28.53,-14.79",-24.97,-12.38,-28.53,-14.79
"-24.73,-12.81","-28.38,-14.69",-24.73,-12.81,-28.38,-14.69
"-24.79,-12.44","-28.43,-14.53",-24.79,-12.44,-28.43,-14.53
"-24.87,-12.18","-28.48,-14.75",-24.87,-12.18,-28.48,-14.75
"-25.08,-12.03","-28.70,-14.99",-25.08,-12.03,-28.7,-14.99
"-25.19,-12.02","-28.73,-15.12",-25.19,-12.02,-28.73,-15.12
"-25.24,-12.67","-28.73,-15.25",-25.24,-12.67,-28.73,-15.25
"-25.12,-12.39","-28.73,-15.29",-25.12,-12.39,-28.73,-15.29
"-25.22,-12.60","-28.66,-15.07",-25.22,-12.6,-28.66,-15.07
"-25.07,-11.95","-28.60,-15.07",-25.07,-11.95,-28.6,-15.07
"-25.17,-11.95","-28.65,-15.09",-25.17,-11.95,-28.65,-15.09
"-25.26,-12.37","-28.63,-15.21",-25.26,-12.37,-28.63,-15.21
"-25.52,-12.31","-28.66,-15.12",-25.52,-12.31,-28.66,-15.12
